191528
serarch time :
0:04:16.797367
--------------------------
1344194
(1312290, 44.84348707428772)
(22106, 42.566537681508045)
(55620, 42.55961928544719)
(1516273, 42.4874704177098)
(1090352, 40.789672798939364)
(746850, 40.173578722021006)
(703941, 39.60008866227206)
(1737088, 39.247597411198555)
(514112, 38.829329029649045)
(121520, 38.31233493186863)
(657808, 37.80524260192085)
(423584, 37.60770460026302)
(1358331, 37.435388994847855)
(134077, 37.10613835111693)
(761226, 36.913117466463014)
(354612, 36.76487581417075)
(1135800, 36.74539026449738)
(1266824, 36.62055772948657)
(595831, 36.54989602987267)
(1287600, 36.1698850658635)
(816314, 35.85517458312308)
(1676857, 35.76095861955592)
(1282877, 35.71421589788142)
(742969, 35.60999634386992)
(349938, 35.38970140013045)
(413250, 35.318282761970906)
(1433826, 35.284615445556575)
(1713432, 35.24773042506421)
(906710, 35.24303506819784)
(932476, 35.10913735879763)
(701855, 35.109137358797625)
(937912, 35.10786139966156)
(1040449, 35.08369772663926)
(1553347, 35.066394692094434)
(1651475, 35.060545817343915)
(1205852, 35.01959316646423)
(1089569, 34.965248035922755)
(635697, 34.940055700210344)
(1520083, 34.918986832948654)
(1084195, 34.87998280400691)
(1363997, 34.849486782115164)
(1673478, 34.83314909011114)
(893210, 34.7985740749824)
(886379, 34.79609323570816)
(1717786, 34.62987507392616)
(1459277, 34.62201306141307)
(821533, 34.595562237294025)
(1647363, 34.564076575286194)
(981128, 34.538280006779914)
(1357691, 34.533266051699826)
(48404, 34.49241970855182)
(482920, 34.47126434897704)
(615915, 34.42732477154684)
(567793, 34.397509730135646)
(319475, 34.38538917605588)
(1187116, 34.37755770217012)
(1353483, 34.367180686636104)
(1647005, 34.35458441391221)
(1010844, 34.332057324535754)
(844635, 34.32868329198937)
(279097, 34.24350401888188)
(764052, 34.148879465591584)
(1633114, 34.14030695765454)
(1448482, 34.13481048625644)
(1668350, 34.09370734655873)
(487795, 34.060372338194185)
(1475797, 34.0565314766358)
(392026, 33.99432423520146)
(596685, 33.951854157332235)
(82595, 33.84766507480451)
(795819, 33.845493950964936)
(1658668, 33.79052668429543)
(817199, 33.78399370010301)
(1317659, 33.73999542711306)
(1574430, 33.715630446367)
(668690, 33.70825221542583)
(1550634, 33.66585095144507)
(1282245, 33.62926328028718)
(481158, 33.61051793721251)
(1740904, 33.549746611882824)
(703288, 33.46790443799784)
(1496278, 33.40748332978283)
(589225, 33.40474118530334)
(133027, 33.39153438345184)
(800466, 33.36345689743044)
(865367, 33.34122888093193)
(450735, 33.33217256952434)
(1096367, 33.31975330966983)
(1640744, 33.309520388325964)
(281336, 33.302608466127325)
(1272746, 33.27349043196632)
(1176177, 33.2499467993021)
(13193, 33.244268970916195)
(1377120, 33.22082455258998)
(368776, 33.21769105667119)
(1573809, 33.21077270991242)
(1492606, 33.19051476015316)
(1163068, 33.18456699426302)
(51877, 33.18241364859065)
(1041560, 33.182194277494766)
(7032, 33.111443424101786)
(248800, 33.10422419603878)
(913468, 33.10299604733716)
(276501, 33.0936091985022)
(515961, 33.090784526306955)
(1435753, 33.082884075203665)
(290233, 33.056441193933914)
(302106, 33.054786602707146)
(1644566, 32.99457355730191)
(1845108, 32.966797264204665)
(943482, 32.952338611114776)
(1267699, 32.92818241914254)
(1713157, 32.92419582123432)
(1606746, 32.91560233948385)
(1211462, 32.91119825253938)
(1418197, 32.89429364950195)
(1120028, 32.89342287779337)
(285, 32.89141875497489)
(243814, 32.87532648364628)
(278417, 32.868781387195696)
(216538, 32.84334863283677)
(1177148, 32.79309389746304)
(1415610, 32.783657391376764)
(1751602, 32.77772673708425)
(476959, 32.775164135784046)
(1484691, 32.7526924786992)
(994591, 32.75012761520843)
(950899, 32.744939284680385)
(1739821, 32.7250057132907)
(723422, 32.7154662200779)
(551929, 32.7068665306477)
(879007, 32.69153263795417)
(287775, 32.682308764788004)
(375171, 32.68133658744851)
